id,confinan_ord,polviews,polviews_bin,degree,age,age_std,sex,income,income_std,region
2892,3,5,Conservative,3,54,0.2811393391344705,2,12,0.3942931976883675,4
2894,2,6,Conservative,1,61,0.67744560475256,2,12,0.3942931976883675,4
2896,2,2,Liberal,1,57,0.45098488154222316,1,12,0.3942931976883675,4
2899,3,1,Liberal,1,60,0.6208304239499758,1,12,0.3942931976883675,4
2901,2,3,Liberal,3,55,0.3377545199370547,1,12,0.3942931976883675,4
2906,2,2,Liberal,2,67,1.0171366895680654,2,12,0.3942931976883675,4
2908,3,4,Moderate,1,60,0.6208304239499758,2,12,0.3942931976883675,4
2910,2,4,Moderate,3,80,1.7531340400016602,1,12,0.3942931976883675,4
2911,2,3,Liberal,3,62,0.7340607855551442,2,6,-2.0285869345858276,4
2912,2,5,Conservative,3,52,0.16790897752930203,2,12,0.3942931976883675,4
2915,2,5,Conservative,2,56,0.3943697007396389,2,12,0.3942931976883675,4
2918,2,2,Liberal,4,32,-0.9643946385223824,2,12,0.3942931976883675,4
2920,2,4,Moderate,3,47,-0.11516692648361908,1,12,0.3942931976883675,4
2924,2,4,Moderate,1,44,-0.2850124688913717,1,12,0.3942931976883675,4
2925,2,6,Conservative,4,37,-0.6813187345094613,2,12,0.3942931976883675,4
2926,3,3,Liberal,3,33,-0.9077794577197982,1,12,0.3942931976883675,4
2928,3,5,Conservative,1,22,-1.5305464465482246,2,11,-0.009520157690665056,4
2929,1,2,Liberal,1,27,-1.2474705425353034,2,12,0.3942931976883675,4
2930,2,3,Liberal,1,77,1.5832884975939077,1,12,0.3942931976883675,4
2934,2,5,Conservative,3,72,1.3002125935809865,1,12,0.3942931976883675,4
2935,1,5,Conservative,1,70,1.186982231975818,1,12,0.3942931976883675,4
2936,2,1,Liberal,2,44,-0.2850124688913717,2,12,0.3942931976883675,4
2938,3,5,Conservative,1,39,-0.5680883729042928,2,12,0.3942931976883675,4
2939,3,2,Liberal,1,40,-0.5114731921017086,1,12,0.3942931976883675,4
2940,2,3,Liberal,3,51,0.11129379672671781,1,12,0.3942931976883675,4
2943,3,3,Liberal,2,33,-0.9077794577197982,1,12,0.3942931976883675,4
2945,2,3,Liberal,3,67,1.0171366895680654,1,12,0.3942931976883675,4
2946,2,3,Liberal,4,35,-0.7945490961146298,2,12,0.3942931976883675,4
2949,2,4,Moderate,1,44,-0.2850124688913717,2,12,0.3942931976883675,4
2951,2,4,Moderate,1,68,1.0737518703706497,2,12,0.3942931976883675,4
2952,2,4,Moderate,1,77,1.5832884975939077,1,12,0.3942931976883675,4
2953,1,5,Conservative,3,43,-0.341627649693956,2,12,0.3942931976883675,4
2956,1,6,Conservative,3,31,-1.0210098193249666,2,12,0.3942931976883675,4
2957,2,3,Liberal,1,62,0.7340607855551442,1,12,0.3942931976883675,4
2958,2,3,Liberal,3,67,1.0171366895680654,2,12,0.3942931976883675,4
2959,3,2,Liberal,3,38,-0.624703553706877,2,12,0.3942931976883675,4
2960,2,4,Moderate,1,31,-1.0210098193249666,2,12,0.3942931976883675,4
2962,2,2,Liberal,1,38,-0.624703553706877,2,6,-2.0285869345858276,4
2966,2,4,Moderate,1,69,1.1303670511732338,1,4,-2.836213645343893,4
2967,1,4,Moderate,1,38,-0.624703553706877,2,12,0.3942931976883675,4
2968,2,4,Moderate,3,39,-0.5680883729042928,1,12,0.3942931976883675,4
2969,3,1,Liberal,4,47,-0.11516692648361908,2,12,0.3942931976883675,4
2970,2,4,Moderate,3,37,-0.6813187345094613,2,12,0.3942931976883675,4
2973,2,6,Conservative,3,61,0.67744560475256,1,12,0.3942931976883675,4
2974,2,6,Conservative,4,55,0.3377545199370547,2,12,0.3942931976883675,4
2975,1,5,Conservative,3,74,1.413442955186155,2,12,0.3942931976883675,4
2976,2,6,Conservative,3,65,0.9039063279628969,2,12,0.3942931976883675,4
2977,3,6,Conservative,3,63,0.7906759663577285,1,12,0.3942931976883675,4
2979,2,6,Conservative,3,51,0.11129379672671781,2,12,0.3942931976883675,4
2980,2,4,Moderate,3,74,1.413442955186155,1,12,0.3942931976883675,4
2981,2,3,Liberal,3,77,1.5832884975939077,2,12,0.3942931976883675,4
2984,1,7,Conservative,2,49,-0.00193656487845063,1,12,0.3942931976883675,4
2985,2,4,Moderate,2,78,1.6399036783964918,1,12,0.3942931976883675,4
2986,2,7,Conservative,4,76,1.5266733167913233,1,12,0.3942931976883675,4
2987,3,7,Conservative,1,71,1.2435974127784022,1,12,0.3942931976883675,4
2989,3,4,Moderate,1,33,-0.9077794577197982,2,12,0.3942931976883675,4
2991,2,4,Moderate,1,52,0.16790897752930203,2,12,0.3942931976883675,4
2992,3,6,Conservative,1,63,0.7906759663577285,1,12,0.3942931976883675,4
2993,3,6,Conservative,1,68,1.0737518703706497,2,11,-0.009520157690665056,4
2994,2,4,Moderate,1,76,1.5266733167913233,2,12,0.3942931976883675,4
2995,3,5,Conservative,1,73,1.3568277743835706,1,11,-0.009520157690665056,4
2999,2,2,Liberal,1,79,1.696518859199076,1,12,0.3942931976883675,4
3001,2,4,Moderate,0,30,-1.077625000127551,2,4,-2.836213645343893,4
3002,3,6,Conservative,1,46,-0.1717821072862033,2,12,0.3942931976883675,4
3003,2,4,Moderate,2,75,1.470058135988739,2,12,0.3942931976883675,4
3004,2,5,Conservative,4,84,1.9795947632119972,1,12,0.3942931976883675,4
3007,1,2,Liberal,1,69,1.1303670511732338,1,12,0.3942931976883675,4
3011,1,4,Moderate,2,24,-1.4173160849430562,2,11,-0.009520157690665056,3
3017,2,2,Liberal,2,41,-0.4548580112991244,2,12,0.3942931976883675,3
3020,2,2,Liberal,1,27,-1.2474705425353034,2,12,0.3942931976883675,3
3021,3,4,Moderate,1,37,-0.6813187345094613,2,12,0.3942931976883675,3
3022,2,7,Conservative,1,43,-0.341627649693956,1,10,-0.4133335130696976,3
3026,2,4,Moderate,1,54,0.2811393391344705,2,10,-0.4133335130696976,3
3029,2,4,Moderate,1,63,0.7906759663577285,1,10,-0.4133335130696976,3
3032,1,4,Moderate,1,20,-1.643776808153393,1,2,-3.643840356101958,3
3034,3,6,Conservative,1,34,-0.851164276917214,2,12,0.3942931976883675,3
3036,3,1,Liberal,1,26,-1.3040857233378877,2,9,-0.8171468684487302,3
3038,1,4,Moderate,1,21,-1.587161627350809,1,12,0.3942931976883675,3
3039,1,2,Liberal,3,64,0.8472911471603127,2,10,-0.4133335130696976,3
3040,3,2,Liberal,2,68,1.0737518703706497,2,9,-0.8171468684487302,3
3042,2,6,Conservative,1,73,1.3568277743835706,1,12,0.3942931976883675,3
3043,3,2,Liberal,1,28,-1.1908553617327193,1,12,0.3942931976883675,3
3044,3,4,Moderate,1,38,-0.624703553706877,2,12,0.3942931976883675,3
3047,2,4,Moderate,1,63,0.7906759663577285,2,12,0.3942931976883675,3
3048,2,5,Conservative,3,34,-0.851164276917214,2,12,0.3942931976883675,3
3049,3,6,Conservative,2,54,0.2811393391344705,2,9,-0.8171468684487302,3
3050,2,4,Moderate,2,64,0.8472911471603127,1,2,-3.643840356101958,3
3051,3,6,Conservative,4,40,-0.5114731921017086,1,12,0.3942931976883675,3
3053,2,7,Conservative,1,56,0.3943697007396389,2,12,0.3942931976883675,3
3054,2,6,Conservative,2,48,-0.05855174568103485,2,12,0.3942931976883675,3
3060,1,1,Liberal,1,32,-0.9643946385223824,1,12,0.3942931976883675,3
3062,2,5,Conservative,3,44,-0.2850124688913717,1,12,0.3942931976883675,3
3064,2,6,Conservative,4,62,0.7340607855551442,2,12,0.3942931976883675,3
3065,3,4,Moderate,1,35,-0.7945490961146298,1,12,0.3942931976883675,3
3066,2,5,Conservative,2,35,-0.7945490961146298,2,12,0.3942931976883675,3
3069,3,4,Moderate,3,37,-0.6813187345094613,1,12,0.3942931976883675,3
3070,3,6,Conservative,2,41,-0.4548580112991244,1,12,0.3942931976883675,3
3071,3,5,Conservative,2,58,0.5076000623448074,1,12,0.3942931976883675,3
3073,2,4,Moderate,3,31,-1.0210098193249666,1,12,0.3942931976883675,3
