parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,khat
log_lik[565],-0.58163694025,NA,0.03140061891864232,-0.6492447,-0.6008994999999999,-0.578329,-0.55923425,-0.528669925,NA,1.0236319960880786
log_lik[566],-1.538715615,NA,0.14468082599129772,-1.83537075,-1.6317475000000001,-1.5358049999999999,-1.4413525,-1.2612452499999998,NA,1.0494287172116412
log_lik[567],-1.899494395,NA,0.12478276421002589,-2.1482824999999997,-1.9802125000000002,-1.896825,-1.8141950000000002,-1.6597330000000001,NA,1.0194140571069337
log_lik[568],-1.44388899,NA,0.12118058915901973,-1.691694,-1.52545,-1.441335,-1.3597175,-1.2205989999999998,NA,1.0086827495912392
log_lik[569],-1.4403656,NA,0.11560441687340578,-1.671651,-1.5181900000000002,-1.43872,-1.3604975000000001,-1.21976825,NA,1.0085083514750808
log_lik[570],-0.9760570905,NA,0.11040000750526964,-1.2055605,-1.047355,-0.9728835,-0.90159525,-0.7711990499999999,NA,1.0398832571756538
log_lik[571],-0.5914570665,NA,0.031511940362098076,-0.6615466,-0.6104525,-0.58883,-0.5694629999999999,-0.537843925,NA,1.0240604306485779
log_lik[572],-1.36364998525,NA,0.12276495541206543,-1.61615575,-1.442565,-1.36005,-1.2780925,-1.1347669999999999,NA,1.0403225611046085
log_lik[573],-0.96789872625,NA,0.08855575979293179,-1.1449652499999998,-1.025315,-0.966424,-0.9056405,-0.7975968499999999,NA,0.9994704120645034
log_lik[574],-0.549287694,NA,0.02858199114481557,-0.6205213,-0.56136525,-0.5429695,-0.53041825,-0.510343275,NA,1.0072519115116194
log_lik[575],-1.321469632,NA,0.08896522016220836,-1.4980812500000003,-1.3800225,-1.31973,-1.2603475,-1.15594925,NA,1.0057515693881083
log_lik[576],-0.94755848475,NA,0.13219808680052136,-1.2206525,-1.03424,-0.941798,-0.8542415,-0.7042542,NA,1.0500284210324982
log_lik[577],-1.309915745,NA,0.10448849808175678,-1.5214070000000002,-1.3796024999999998,-1.308565,-1.23894,-1.1097489999999999,NA,0.9978033054324718
log_lik[578],-0.6457239515,NA,0.042146591031654565,-0.738849125,-0.6725645,-0.6425004999999999,-0.61641325,-0.5730279,NA,1.0228139458656698
log_lik[579],-1.162050843,NA,0.10719733784576303,-1.3773707499999999,-1.2334650000000003,-1.15974,-1.08876,-0.957891125,NA,1.0345432803378998
log_lik[580],-0.5375579055,NA,0.016088641872883433,-0.572681675,-0.54716725,-0.5363805,-0.5264347500000001,-0.5089039000000001,NA,1.0147159122823317
log_lik[581],-0.54387184225,NA,0.0204102680041656,-0.58884655,-0.5554175,-0.541585,-0.5298924999999999,-0.510276925,NA,1.0146822922902725
log_lik[582],-0.57846297225,NA,0.035808399585065154,-0.6626571,-0.59740425,-0.572929,-0.5529137499999999,-0.524470475,NA,1.0223471845849317
log_lik[583],-2.00575695,NA,0.1367831414231736,-2.2694907499999997,-2.0971975,-2.0053900000000002,-1.9136849999999999,-1.7395074999999998,NA,1.0173173622594966
log_lik[584],-0.5411974315,NA,0.019224379519461356,-0.587414,-0.55092125,-0.5388915,-0.5285249999999999,-0.50952085,NA,1.0154354117248496
log_lik[585],-0.657929289,NA,0.05031470213312573,-0.765486275,-0.69030125,-0.6538405,-0.6224405,-0.570419575,NA,1.0171766115239649
log_lik[586],-0.5339099125,NA,0.014096869664713864,-0.562895625,-0.542819,-0.5333589999999999,-0.5245070000000001,-0.5077994,NA,1.0195811842839362
log_lik[587],-2.1467304025,NA,0.11843344248495738,-2.381029,-2.225525,-2.1463400000000004,-2.066395,-1.9113780000000002,NA,1.039247581712592
log_lik[588],-1.01154904375,NA,0.1158103011217863,-1.252571,-1.085205,-1.007005,-0.9340562499999999,-0.7961061749999999,NA,1.0399993456616605
log_lik[589],-0.54332510375,NA,0.020982630702614167,-0.5930356999999999,-0.554595,-0.5402199999999999,-0.5293129999999999,-0.509682075,NA,1.0073891358873448
log_lik[590],-0.535150027,NA,0.015556833264600356,-0.56845605,-0.5442670000000001,-0.534317,-0.5245312500000001,-0.5075404250000001,NA,1.0147756028598645
log_lik[591],-2.168569355,NA,0.16695635879240825,-2.498245,-2.28009,-2.170355,-2.0523325,-1.8473477499999997,NA,1.0213894376345112
log_lik[592],-0.55170044225,NA,0.02553721559578806,-0.6120318,-0.566057,-0.547984,-0.5338767500000001,-0.5119344250000001,NA,1.0196041914605227
log_lik[593],-1.7261171025,NA,0.1824503649079476,-2.0921192499999997,-1.84725,-1.7222149999999998,-1.598965,-1.3882750000000001,NA,1.0372779268365258
log_lik[594],-0.53892723,NA,0.015900067259285815,-0.5734369,-0.54826925,-0.537789,-0.52818425,-0.510837825,NA,1.0165894414543133
log_lik[595],-1.874002285,NA,0.10450226116345929,-2.082287,-1.9446225,-1.87344,-1.8031725,-1.669497,NA,1.0357765971502435
log_lik[596],-0.61131300225,NA,0.04352844876825139,-0.707771575,-0.6376422500000001,-0.60687,-0.5804290000000001,-0.537979825,NA,1.0214573359698729
log_lik[597],-0.611342272,NA,0.052712609489787364,-0.7364348,-0.6404795000000001,-0.604017,-0.5731895,-0.530812875,NA,1.017720140249462
log_lik[598],-0.64133119975,NA,0.04949989657303377,-0.751267325,-0.67234375,-0.637524,-0.605156,-0.557052875,NA,1.0179263123197657
log_lik[599],-1.11730481975,NA,0.10179712250574381,-1.32299175,-1.18332,-1.1145200000000002,-1.048235,-0.923351975,NA,1.0292252331776832
log_lik[600],-2.5271815375,NA,0.13770997360383389,-2.79542575,-2.6227725,-2.5270349999999997,-2.43437,-2.254143,NA,1.025196888363437
log_lik[601],-1.2770305865,NA,0.12573340238433398,-1.5293340000000002,-1.3598424999999998,-1.27262,-1.190735,-1.03788725,NA,1.0129085362486387
log_lik[602],-0.69901472875,NA,0.05657618924365626,-0.819285925,-0.7354775,-0.6953345,-0.65789225,-0.5983606999999999,NA,1.010392014847308
log_lik[603],-1.2091873195,NA,0.11188419130990852,-1.4313925,-1.2860200000000002,-1.2037,-1.130595,-0.9995900500000001,NA,1.030964660532417
log_lik[604],-1.6245411925,NA,0.13309716334270774,-1.8852527500000003,-1.7174225,-1.62313,-1.531145,-1.3765917499999998,NA,1.0062572226543962
log_lik[605],-0.5692582625,NA,0.03303229198894778,-0.6478831500000001,-0.5877159999999999,-0.5648635,-0.54556825,-0.5174480499999999,NA,1.0128207901097528
log_lik[606],-0.5980287005,NA,0.0362646217022541,-0.6784920249999999,-0.620123,-0.594935,-0.57222875,-0.536707575,NA,1.013159410461823
log_lik[607],-1.3094882505,NA,0.11212868635862265,-1.5253400000000001,-1.3865225,-1.30584,-1.2301475,-1.0969589999999998,NA,1.0190926202018993
log_lik[608],-0.540327585,NA,0.01847452561335293,-0.5825283499999999,-0.5508934999999999,-0.538678,-0.52743925,-0.5084299999999999,NA,1.0044837476265671
log_lik[609],-0.70249975275,NA,0.05576776250699298,-0.8203058000000001,-0.7392515,-0.69922,-0.6619790000000001,-0.6024814500000001,NA,1.000894931239155
log_lik[610],-0.53536015125,NA,0.014890471283698036,-0.567501975,-0.5448065,-0.5347014999999999,-0.525098,-0.5083351,NA,1.0100533781325485
log_lik[611],-0.63343169325,NA,0.0385283067519836,-0.7119482500000001,-0.658835,-0.6320245,-0.6053997500000001,-0.5643527500000001,NA,1.007557241137055
log_lik[612],-0.53865150325,NA,0.017007652656472323,-0.5777605,-0.5476615,-0.537049,-0.52755025,-0.509858825,NA,1.0091064954304825
log_lik[613],-0.538626957,NA,0.01754522000822262,-0.577526575,-0.54885825,-0.5372155000000001,-0.5263145,-0.50779265,NA,1.0067623998731499
log_lik[614],-0.54807445025,NA,0.019773966967250915,-0.59069055,-0.56092025,-0.5465285,-0.5343702499999999,-0.5127379999999999,NA,1.0038331415247481
log_lik[615],-0.582929688,NA,0.029896244765529087,-0.6474081,-0.6019172500000001,-0.580826,-0.5614032499999999,-0.530624075,NA,1.0101529851429476
log_lik[616],-1.76588636,NA,0.12267002255465177,-2.0184207499999998,-1.8481375000000002,-1.76285,-1.68471,-1.53131275,NA,1.0775530464284917
