parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
log_lik[73],-1.1475658614247268,0.0018838139765839329,0.11438979593457099,-1.3851747503578795,-1.2221468219095766,-1.142239327613404,-1.069277531972525,-0.9336851472906657,3687.215671758246,0.9999060268224674
log_lik[74],-0.5552342853202816,4.3756626485266586e-4,0.028052922490522277,-0.6164956089332801,-0.5719264834375335,-0.5526914032687167,-0.5356656436894908,-0.506700228164456,4110.253048489329,0.999485558153445
log_lik[75],-0.5322698260917149,3.0205674207833285e-4,0.019871048628429627,-0.5729856999523802,-0.545185627295129,-0.5313784746249176,-0.5188123971456121,-0.49530026776263875,4327.773313457924,0.9998985766798862
log_lik[76],-0.5458015360398555,3.629683033810803e-4,0.023608399326259327,-0.5967133731236921,-0.5607673510275553,-0.5440692176888815,-0.5292010124057686,-0.5038623388130322,4230.538795765343,0.9993106758277233
log_lik[77],-1.5014620770220213,0.0021703092339764004,0.12237932582035974,-1.7540250431675954,-1.5820991729447953,-1.498837935506382,-1.417311561314379,-1.2682151543777198,3179.6028408453417,1.0004173322486065
log_lik[78],-1.088701532015652,0.0020230970956799216,0.11459281368695083,-1.319406878450917,-1.165193004261388,-1.0854056589660477,-1.0081576272891,-0.8713396546769602,3208.3468491502135,0.999467014846183
log_lik[79],-0.530819546539305,2.8351061322839195e-4,0.018987293612615443,-0.5691582549264161,-0.5434217846576304,-0.5303177438605753,-0.5182123297241112,-0.49494505556336554,4485.258622016932,0.9999165418482524
log_lik[80],-0.573367072490105,5.261017510664437e-4,0.03227204537542085,-0.6455939799953906,-0.5929249433697742,-0.5699872969579145,-0.5511186427048711,-0.5186469916930716,3762.820387301792,0.9994100110386036
log_lik[81],-0.5602814593891023,5.164754346322206e-4,0.03161879192283842,-0.6322372001467095,-0.578203426420442,-0.5560662571431314,-0.5377112083066118,-0.5097734288028224,3747.9277095161815,1.0000719876392046
log_lik[82],-1.459458507507556,0.00220616070322125,0.11638717353722682,-1.6908602189750703,-1.5385371127032106,-1.4575626924433727,-1.3802715335528637,-1.230196384836713,2783.1457721467973,1.0009544367987748
log_lik[83],-0.5526083507980393,4.239462670804611e-4,0.026927770259549337,-0.6102442152036961,-0.5693662479167672,-0.5502622949447356,-0.5335981113081788,-0.5050384830674474,4034.401861786271,1.0003087369141117
log_lik[84],-1.3736784075731168,0.0021210343477346258,0.11572868512571047,-1.6074495034713263,-1.4501712423298383,-1.372617662375014,-1.2956323829555385,-1.1480150254730854,2977.0534682637153,1.0014561062520428
log_lik[85],-1.1027394719207089,0.0019391767937312783,0.09901513438735177,-1.3012294426716502,-1.1687324012836753,-1.1024307601355394,-1.037003339906575,-0.9052134501370597,2607.1640073119725,1.0014244222533504
log_lik[86],-0.540867566634693,3.4330925465951687e-4,0.022566097249309407,-0.5900032293582553,-0.5547092642874956,-0.538937868820778,-0.5249020450177926,-0.5011799809747891,4320.57838807848,0.9998163989965512
log_lik[87],-0.5304594901574066,2.797162257153777e-4,0.018802622859387753,-0.5677774337689145,-0.5430080954137331,-0.5298757559878906,-0.5177044621361864,-0.49466226029078075,4518.575582028926,1.0000815743654148
log_lik[88],-1.6527416647444673,0.0021020149262385274,0.1273820491575489,-1.9079100434220064,-1.7398567624558778,-1.6497288270043562,-1.563504238898031,-1.4159242507277503,3672.3568072794483,0.9999137216464606
log_lik[89],-1.6278398982946671,0.0023739878111987585,0.13902267364820156,-1.9076269578614524,-1.720319816183665,-1.6252155119818024,-1.5306578095593262,-1.3623011151713171,3429.3696762908826,0.9994595185355151
log_lik[90],-1.8058907895772218,0.002339055429084019,0.141419407518107,-2.0944738709918407,-1.902912803361853,-1.8020254085842076,-1.7073036473964882,-1.543654609227237,3655.4176109998693,1.0000597290124054
log_lik[91],-0.5314655912783135,2.938356442373849e-4,0.019308773962625623,-0.570522736748046,-0.5442660716726219,-0.5307886049903496,-0.5180721864532878,-0.49530055256340555,4318.177021759749,0.999925020950412
log_lik[92],-0.530309987451019,2.7749098118897233e-4,0.018734434644231038,-0.5680179796794749,-0.5425636796251935,-0.5298805725671052,-0.5176584102113406,-0.4941963276315243,4558.095691495951,1.0000708943471315
log_lik[93],-0.5760635563156976,5.80711448557979e-4,0.03593930704829436,-0.6570610477231342,-0.5975271311157742,-0.5720422117959088,-0.5505702579834656,-0.5170807409698089,3830.175042572049,1.0001333607306129
log_lik[94],-1.4833650419695719,0.0022331804118048957,0.11839262361483505,-1.7203434175718153,-1.563640448412162,-1.481518944413803,-1.4031568924032525,-1.2531325491903822,2810.6170073694398,1.0009127875980606
log_lik[95],-1.7549525450897354,0.0021376808590995357,0.11725456395427128,-1.9897151809896816,-1.8326166218854176,-1.753104527872992,-1.675285424994771,-1.5317294190333173,3008.6645906811377,1.00055488452313
log_lik[96],-0.5739427229922308,4.8372642170836465e-4,0.03181616120379065,-0.6432216649558039,-0.5931100163910135,-0.5705801325959814,-0.5519428969969395,-0.5183629580835621,4326.09385677976,0.999298475715145
log_lik[97],-1.5686868861212249,0.0025032679470738516,0.1448899445463243,-1.8726771136270035,-1.6656431311778688,-1.5628930450574399,-1.4680044724964354,-1.3001677134448208,3350.1311993176146,0.9993030418024436
log_lik[98],-0.5368783203097696,3.4623946609103114e-4,0.020721378949500432,-0.5809894779420892,-0.5502589284067131,-0.5356862498114929,-0.5225709235874739,-0.4980953778177764,3581.658438689126,0.9999551634773448
log_lik[99],-1.6158772244519712,0.0023161316800073438,0.12714481047413337,-1.8737557145538737,-1.7027457765775407,-1.6136627235481842,-1.526589515649726,-1.3750043061735804,3013.4971409370387,1.0006349885153314
log_lik[100],-1.752626391140404,0.002393794596244885,0.1259720871302273,-1.9994913078775356,-1.8387301462282375,-1.7509217155478805,-1.6651994363012912,-1.5138193754998426,2769.331114960586,0.9994823763882873
log_lik[101],-0.5308973510532126,2.870449210483252e-4,0.019032194437859702,-0.5687283829552238,-0.5433287452679434,-0.5303464777019751,-0.5181120422548173,-0.4950952140133789,4396.20562937975,1.000200246543358
log_lik[102],-0.5310522662881386,2.777294962590603e-4,0.01887447956656127,-0.568627668167454,-0.5434771188805387,-0.5307008156526714,-0.5180767263374694,-0.4949608383937197,4618.553280642992,0.999826074614637
log_lik[103],-1.607942603786739,0.002148213373683675,0.12181645997690518,-1.8602824942487632,-1.689336576778801,-1.6019770027813367,-1.5254747096521246,-1.378309044632414,3215.5636999997864,1.0005928128403963
log_lik[104],-1.3784884132107897,0.0019719467959319714,0.11889253773337957,-1.6147947371171179,-1.4594798724582734,-1.3750215515237998,-1.2970247184638561,-1.1494134236379008,3635.120464546295,0.9995443223011348
log_lik[105],-0.5568585068664617,4.435844716478219e-4,0.028096659547099407,-0.62005076641941,-0.573230677855184,-0.5542929186527408,-0.5370318739722548,-0.5093522042404827,4011.961058320772,0.9994845444439185
log_lik[106],-0.5378441277390594,3.1856692523437214e-4,0.021193801223315125,-0.5810125035070091,-0.5511684410633289,-0.5374452953842004,-0.5230376727308821,-0.49846145758891924,4426.050308050549,0.9993447098369531
log_lik[107],-1.0814017314064577,0.0013300425511774676,0.08715130636871993,-1.2615344806050655,-1.1384056852607096,-1.078659475730023,-1.02282111113129,-0.9120025725795559,4293.552051247142,0.9992956857335813
log_lik[108],-0.6425689452502333,5.322132340294102e-4,0.03854004343221002,-0.725553600519005,-0.6669728619725914,-0.6403230993081039,-0.6154712220892551,-0.5731181869135146,5243.883810852276,1.0003198944964302
log_lik[109],-1.4115727402059313,0.0016425732252566092,0.10304113706066126,-1.616238984902203,-1.4804565061928412,-1.4078094088843383,-1.3401243349957737,-1.2136636492015764,3935.2452764925138,0.9996612114266274
log_lik[110],-2.4330489250216853,0.0018783465550754055,0.13692109488892507,-2.704771820115984,-2.5226771001417365,-2.4334605186249254,-2.341114585872485,-2.164876633687655,5313.605175422934,0.9996449967957969
log_lik[111],-1.455574150586492,0.0014873205351053987,0.10182598505537831,-1.6637132887872583,-1.5231129149701306,-1.4534541297229269,-1.386331933105612,-1.25700572134405,4687.141793636061,0.9999735277843633
log_lik[112],-1.3590593197807994,0.003102090209924735,0.18698481377742943,-1.7455146766517518,-1.481141930496501,-1.3567795893745749,-1.232799013363692,-1.0049683870722974,3633.3214777193216,0.9997885633882121
log_lik[113],-0.5336694085885791,2.964030260208767e-4,0.01979566607587871,-0.5749295527124153,-0.5462394717216497,-0.5332782801529835,-0.5202789285757369,-0.4962253058450739,4460.411967309594,0.9999647178527762
log_lik[114],-1.6500232845768394,0.0016126193622541926,0.11193029814408584,-1.873241435290344,-1.7237764367447874,-1.6494678310654611,-1.5738637135748232,-1.4351767598031278,4817.6093523953405,0.9998806411688086
log_lik[115],-0.6508330213842914,6.408975648357707e-4,0.04442915381857736,-0.7468119547861731,-0.6778712235140358,-0.6473764890886067,-0.6189018169938364,-0.5744344806060437,4805.724176451915,1.0003379730592752
